file,nblyzer,extension
1485,0.007995525995890299,0.007535417874654134
1609,0.00015683968861897787,0.0001408259073893229
1279,5.4955482482910156e-05,6.184975306193034e-05
2179,7.363160451253255e-05,6.198883056640625e-05
2169,6.67572021484375e-05,7.224082946777344e-05
1394,8.153915405273438e-05,7.176399230957031e-05
674,0.00012195110321044922,8.785724639892578e-05
832,0.0003262996673583984,0.00019626617431640626
1975,0.00012695789337158203,0.00015020370483398438
1285,0.00011897087097167969,0.0001068115234375
2358,0.0001652240753173828,0.00016450881958007812
2351,8.934736251831055e-05,8.255243301391602e-05
1695,0.00047343969345092773,0.0004763603210449219
172,0.00011730194091796875,9.512901306152344e-05
1220,7.987022399902344e-05,7.05718994140625e-05
883,0.00010395050048828125,9.512901306152344e-05
1079,0.00012109829829289363,0.00011543127206655649
1851,0.00046892960866292316,0.00043912728627522785
933,6.198883056640625e-05,7.390975952148438e-05
191,9.226799011230469e-05,0.0001049041748046875
2205,0.003040870030721029,0.0028494993845621743
1155,0.0010981559753417969,0.0010650157928466797
589,0.1075747013092041,0.10217177867889404
2080,0.00021572113037109374,0.00023751258850097657
1657,0.0008252620697021485,0.0010189056396484376
1589,0.009642839431762695,0.010230302810668945
1922,9.632110595703125e-05,0.0001628398895263672
1827,7.096926371256511e-05,9.628136952718099e-05
31,0.007985353469848633,0.009879112243652344
2144,5.543231964111328e-05,0.0001728534698486328
2092,0.00010037422180175781,0.00010212262471516927
1438,9.870529174804688e-05,0.00010355313618977864
1542,0.0001628398895263672,0.00016339619954427084
784,0.0005697409311930338,0.0005666414896647135
1935,0.009320735931396484,0.011354207992553711
409,7.736682891845703e-05,7.18832015991211e-05
1471,0.00016045570373535156,0.00012445449829101562
2095,8.273124694824219e-05,6.691614786783855e-05
85,0.0009529590606689453,0.0006546974182128906
1746,0.00011467933654785156,0.00010204315185546875
649,0.00013446807861328125,0.00011992454528808594
2209,0.00015278296037153765,0.0001537799835205078
657,6.490945816040039e-05,6.133317947387695e-05
1815,0.0022782325744628907,0.0018310546875
225,0.00010228157043457031,8.702278137207031e-05
1861,7.319450378417969e-05,8.845329284667969e-05
961,0.00022077560424804688,0.0001976490020751953
766,8.529424667358398e-05,8.362531661987305e-05
2384,6.914138793945312e-05,6.628036499023438e-05
65,0.0001844167709350586,0.0001653432846069336
565,5.856156349182129e-05,5.510449409484863e-05
2032,0.00011992454528808594,0.00010752677917480469
1875,0.0004942417144775391,0.00042549769083658856
1546,0.00015211105346679688,0.0001366138458251953
2406,6.407499313354492e-05,6.115436553955078e-05
1581,0.0001475811004638672,0.00012373924255371094
698,0.0005233287811279297,0.0004521012306213379
426,0.8503375053405762,0.7927492459615072
1427,0.00016266107559204102,0.00013953447341918945
2298,0.00010251998901367188,8.511543273925781e-05
1765,0.010034521420796713,0.008893926938374838
1190,0.00013343493143717447,0.00010315577189127605
141,5.53131103515625e-05,4.887580871582031e-05
2366,0.0002391338348388672,0.00019502639770507812
2115,0.00011539459228515625,0.00010597705841064453
1811,0.00046253204345703125,0.0004017949104309082
981,0.00017221768697102865,0.0001521905263264974
