file,nblyzer,extension
1485,0.01504659652709961,0.014232873916625977
1485,0.005321979522705078,0.004891872406005859
1485,0.0050201416015625,0.004817962646484375
1485,0.005121469497680664,0.00466465950012207
1485,0.005231618881225586,0.0048449039459228516
1485,0.01223134994506836,0.011760234832763672
1609,0.0001881122589111328,0.00016498565673828125
1609,0.00016379356384277344,0.0001373291015625
1609,9.775161743164062e-05,9.036064147949219e-05
1609,0.00017142295837402344,0.00013136863708496094
1609,0.00015044212341308594,0.00014352798461914062
1609,0.00013899803161621094,0.00012922286987304688
1609,0.00015211105346679688,0.00013518333435058594
1609,0.00013971328735351562,0.00012969970703125
1609,0.0001456737518310547,0.00013446807861328125
1609,0.0001361370086669922,0.00012683868408203125
1609,0.00019884109497070312,0.0001857280731201172
1609,0.0001990795135498047,0.0001811981201171875
1279,0.00011491775512695312,0.00012421607971191406
1279,4.9591064453125e-05,4.601478576660156e-05
1279,4.267692565917969e-05,4.100799560546875e-05
1279,4.315376281738281e-05,6.842613220214844e-05
1279,4.887580871582031e-05,7.104873657226562e-05
1279,4.00543212890625e-05,7.295608520507812e-05
1279,4.124641418457031e-05,5.316734313964844e-05
1279,5.173683166503906e-05,5.054473876953125e-05
1279,5.91278076171875e-05,4.1961669921875e-05
1279,7.152557373046875e-05,4.00543212890625e-05
1279,5.412101745605469e-05,7.677078247070312e-05
1279,4.243850708007812e-05,5.602836608886719e-05
2179,0.00010466575622558594,8.177757263183594e-05
2179,0.00010585784912109375,8.320808410644531e-05
2179,0.0001819133758544922,0.0001049041748046875
2179,6.222724914550781e-05,5.078315734863281e-05
2179,5.197525024414062e-05,4.911422729492188e-05
2179,5.865097045898438e-05,4.673004150390625e-05
2179,6.127357482910156e-05,4.625320434570312e-05
2179,5.054473876953125e-05,4.553794860839844e-05
2179,5.006790161132812e-05,8.58306884765625e-05
2179,5.102157592773438e-05,5.173683166503906e-05
2179,4.839897155761719e-05,4.673004150390625e-05
2179,5.698204040527344e-05,5.125999450683594e-05
2169,6.67572021484375e-05,7.224082946777344e-05
1394,8.153915405273438e-05,7.176399230957031e-05
674,0.00015115737915039062,0.00010442733764648438
674,9.274482727050781e-05,7.128715515136719e-05
832,0.000591278076171875,0.0003495216369628906
832,0.00037860870361328125,0.000213623046875
832,0.0002720355987548828,0.000156402587890625
832,0.00027108192443847656,0.00016236305236816406
832,0.00011849403381347656,9.942054748535156e-05
1975,0.00015783309936523438,0.0001933574676513672
1975,9.608268737792969e-05,0.00010704994201660156
1285,0.00011897087097167969,0.0001068115234375
