file name,start cell,execute time,avg cell exec time,max cell exec time,no. of errors,true phi rate,no. fixedpoint,longest fixedpoint path,shortest fixedpoint path
1485.ipynb,2,0.00018024444580078125,-1,-1,0,0.0,0,-1,-1
1485.ipynb,21,0.00010323524475097656,-1,-1,0,0.0,0,-1,-1
1485.ipynb,30,0.00011253356933593750,-1,-1,0,0.0,0,-1,-1
1485.ipynb,34,0.00025749206542968750,-1,-1,0,0.0,0,-1,-1
1485.ipynb,35,0.00008559226989746094,-1,-1,0,0.0,0,-1,-1
1485.ipynb,38,0.00005507469177246094,-1,-1,0,0.0,0,-1,-1
1609.ipynb,2,0.00011610984802246094,-1,-1,0,0.0,0,-1,-1
1609.ipynb,3,0.00007343292236328125,-1,-1,0,0.0,0,-1,-1
1609.ipynb,6,0.00012159347534179688,-1,-1,0,0.0,0,-1,-1
1609.ipynb,9,0.00006914138793945312,-1,-1,0,0.0,0,-1,-1
1609.ipynb,21,0.00006508827209472656,-1,-1,0,0.0,0,-1,-1
1609.ipynb,23,0.00006222724914550781,-1,-1,0,0.0,0,-1,-1
1609.ipynb,33,0.00006890296936035156,-1,-1,0,0.0,0,-1,-1
1609.ipynb,34,0.00005722045898437500,-1,-1,0,0.0,0,-1,-1
1609.ipynb,37,0.00005674362182617188,-1,-1,0,0.0,0,-1,-1
1609.ipynb,38,0.00005483627319335938,-1,-1,0,0.0,0,-1,-1
1609.ipynb,54,0.00008583068847656250,-1,-1,0,0.0,0,-1,-1
1609.ipynb,55,0.00005459785461425781,-1,-1,0,0.0,0,-1,-1
1279.ipynb,0,0.00014996528625488281,-1,-1,0,0.0,0,-1,-1
1279.ipynb,4,0.00006246566772460938,-1,-1,0,0.0,0,-1,-1
1279.ipynb,7,0.00005149841308593750,-1,-1,0,0.0,0,-1,-1
1279.ipynb,11,0.00004696846008300781,-1,-1,0,0.0,0,-1,-1
1279.ipynb,14,0.00004291534423828125,-1,-1,0,0.0,0,-1,-1
1279.ipynb,16,0.00004148483276367188,-1,-1,0,0.0,0,-1,-1
1279.ipynb,18,0.00004124641418457031,-1,-1,0,0.0,0,-1,-1
1279.ipynb,21,0.00004220008850097656,-1,-1,0,0.0,0,-1,-1
1279.ipynb,23,0.00004458427429199219,-1,-1,0,0.0,0,-1,-1
1279.ipynb,24,0.00004339218139648438,-1,-1,0,0.0,0,-1,-1
1279.ipynb,26,0.00003910064697265625,-1,-1,0,0.0,0,-1,-1
1279.ipynb,28,0.00003862380981445312,-1,-1,0,0.0,0,-1,-1
2179.ipynb,0,0.00009894371032714844,-1,-1,0,0.0,0,-1,-1
2179.ipynb,1,0.00005984306335449219,-1,-1,0,0.0,0,-1,-1
2179.ipynb,2,0.00018620491027832031,-1,-1,0,0.0,0,-1,-1
2179.ipynb,3,0.00006008148193359375,-1,-1,0,0.0,0,-1,-1
2179.ipynb,6,0.00006461143493652344,-1,-1,0,0.0,0,-1,-1
2179.ipynb,8,0.00005364418029785156,-1,-1,0,0.0,0,-1,-1
2179.ipynb,10,0.00004982948303222656,-1,-1,0,0.0,0,-1,-1
2179.ipynb,13,0.00004816055297851562,-1,-1,0,0.0,0,-1,-1
2179.ipynb,15,0.00005555152893066406,-1,-1,0,0.0,0,-1,-1
2179.ipynb,17,0.00004792213439941406,-1,-1,0,0.0,0,-1,-1
2179.ipynb,19,0.00004863739013671875,-1,-1,0,0.0,0,-1,-1
2179.ipynb,24,0.00005984306335449219,-1,-1,0,0.0,0,-1,-1
2169.ipynb,1,0.00012493133544921875,-1,-1,0,0.0,0,-1,-1
1394.ipynb,0,0.00010108947753906250,-1,-1,0,0.0,0,-1,-1
674.ipynb,0,0.00019526481628417969,-1,-1,0,0.0,0,-1,-1
674.ipynb,18,0.00008201599121093750,-1,-1,0,0.0,0,-1,-1
